Ticket ID,Created Time,Resolved Time,Priority,Category,Department,Description
TCKT00257,2023-01-14 06:00:00,2023-01-16 05:00:00,Urgent,Hardware,Finance,Bug found in internal app
TCKT00258,2023-01-09 19:00:00,2023-01-10 18:00:00,Urgent,Network,Engineering,System crash during deployment
TCKT00259,2023-01-23 17:00:00,2023-01-24 04:00:00,Low,Network,Finance,System crash during deployment
TCKT00260,2023-02-17 01:00:00,2023-02-19 05:00:00,High,Access Request,Support,Laptop not booting up
TCKT00261,2023-01-04 00:00:00,2023-01-04 21:00:00,Low,Software,Engineering,Need access to Jira
TCKT00262,2023-03-02 18:00:00,2023-03-05 15:00:00,Medium,Software,HR,System crash during deployment
TCKT00263,2023-02-05 02:00:00,2023-02-06 10:00:00,High,Bug Report,Finance,Cannot connect to VPN
TCKT00264,2023-02-05 07:00:00,2023-02-06 19:00:00,High,Software,HR,System crash during deployment
TCKT00265,2023-02-08 01:00:00,2023-02-08 07:00:00,Urgent,Software,HR,Bug found in internal app
TCKT00266,2023-01-20 14:00:00,2023-01-21 01:00:00,Urgent,Software,IT,Forgot Windows password
TCKT00267,2023-02-27 00:00:00,2023-03-01 12:00:00,Low,Bug Report,Support,Laptop not booting up
TCKT00268,2023-03-10 09:00:00,2023-03-11 18:00:00,High,Network,IT,Laptop not booting up
TCKT00269,2023-03-08 22:00:00,2023-03-09 17:00:00,Urgent,Software,HR,Cannot connect to VPN
TCKT00270,2023-02-21 08:00:00,2023-02-21 11:00:00,Low,Access Request,IT,Bug found in internal app
TCKT00271,2023-03-19 06:00:00,2023-03-21 15:00:00,High,Bug Report,Finance,Laptop not booting up
TCKT00272,2023-01-14 15:00:00,2023-01-17 06:00:00,Medium,Software,Support,Outlook not sending emails
TCKT00273,2023-01-11 04:00:00,2023-01-12 08:00:00,Low,Bug Report,Finance,Cannot connect to VPN
TCKT00274,2023-01-21 14:00:00,2023-01-23 14:00:00,Low,Bug Report,Engineering,Cannot connect to VPN
TCKT00275,2023-02-27 05:00:00,2023-02-27 10:00:00,Low,Network,Support,Forgot Windows password
TCKT00276,2023-01-25 09:00:00,2023-01-27 13:00:00,Medium,Access Request,Finance,Requesting new mouse and keyboard
TCKT00277,2023-03-16 19:00:00,2023-03-16 22:00:00,Medium,Hardware,HR,WiFi is unstable in the office
TCKT00278,2023-03-15 04:00:00,2023-03-17 21:00:00,Medium,Bug Report,Support,Laptop running slow
TCKT00279,2023-01-18 02:00:00,2023-01-19 19:00:00,Low,Network,Finance,Forgot Windows password
TCKT00280,2023-03-17 13:00:00,2023-03-18 07:00:00,High,Access Request,IT,System crash during deployment
TCKT00281,2023-02-28 22:00:00,2023-03-03 00:00:00,High,Network,Finance,Bug found in internal app
TCKT00282,2023-02-28 06:00:00,2023-03-01 09:00:00,Low,Bug Report,Support,Forgot Windows password
TCKT00283,2023-01-26 04:00:00,2023-01-28 07:00:00,Urgent,Hardware,Engineering,Forgot Windows password
TCKT00284,2023-03-17 04:00:00,2023-03-19 10:00:00,High,Bug Report,Support,Laptop running slow
TCKT00285,2023-03-12 05:00:00,2023-03-14 15:00:00,Urgent,Hardware,Finance,Outlook not sending emails
TCKT00286,2023-01-27 06:00:00,2023-01-27 22:00:00,High,Software,Support,Outlook not sending emails
TCKT00287,2023-02-26 22:00:00,2023-02-28 23:00:00,High,Network,HR,Requesting new mouse and keyboard
TCKT00288,2023-02-11 14:00:00,2023-02-12 20:00:00,Urgent,Network,HR,WiFi is unstable in the office
TCKT00289,2023-02-07 23:00:00,2023-02-09 07:00:00,Medium,Hardware,Support,Outlook not sending emails
TCKT00290,2023-01-13 01:00:00,2023-01-13 16:00:00,Medium,Access Request,Finance,Laptop running slow
TCKT00291,2023-01-01 07:00:00,2023-01-01 15:00:00,Medium,Software,HR,Laptop not booting up
TCKT00292,2023-01-04 05:00:00,2023-01-04 22:00:00,Urgent,Software,Engineering,Laptop not booting up
TCKT00293,2023-01-27 01:00:00,2023-01-27 15:00:00,Urgent,Access Request,Finance,Outlook not sending emails
TCKT00294,2023-03-11 15:00:00,2023-03-11 18:00:00,Medium,Network,HR,Laptop running slow
TCKT00295,2023-02-14 03:00:00,2023-02-15 17:00:00,Urgent,Network,IT,WiFi is unstable in the office
TCKT00296,2023-01-16 03:00:00,2023-01-16 07:00:00,High,Access Request,Engineering,Laptop not booting up
TCKT00297,2023-03-22 04:00:00,2023-03-23 09:00:00,Low,Network,Finance,System crash during deployment
TCKT00298,2023-02-26 04:00:00,2023-02-26 13:00:00,Urgent,Network,Support,Laptop running slow
TCKT00299,2023-01-02 08:00:00,2023-01-02 22:00:00,High,Network,Finance,Laptop running slow
TCKT00300,2023-02-21 03:00:00,2023-02-21 23:00:00,High,Software,Engineering,Requesting new mouse and keyboard
TCKT00301,2023-01-11 15:00:00,2023-01-13 07:00:00,Urgent,Software,Finance,Need access to Jira
TCKT00302,2023-03-03 16:00:00,2023-03-05 01:00:00,Medium,Network,HR,Forgot Windows password
TCKT00303,2023-01-11 05:00:00,2023-01-13 05:00:00,Urgent,Access Request,HR,Bug found in internal app
TCKT00304,2023-03-23 09:00:00,2023-03-23 16:00:00,Low,Network,Engineering,Laptop not booting up
TCKT00305,2023-01-14 05:00:00,2023-01-16 02:00:00,Urgent,Access Request,Engineering,WiFi is unstable in the office
TCKT00306,2023-01-26 10:00:00,2023-01-27 13:00:00,High,Hardware,Engineering,Need access to Jira
TCKT00307,2023-02-24 06:00:00,2023-02-24 17:00:00,Urgent,Network,IT,Requesting new mouse and keyboard
TCKT00308,2023-02-13 15:00:00,2023-02-15 16:00:00,Low,Access Request,HR,Requesting new mouse and keyboard
TCKT00309,2023-01-24 14:00:00,2023-01-26 02:00:00,Medium,Bug Report,Finance,Cannot connect to VPN
TCKT00310,2023-01-14 07:00:00,2023-01-16 10:00:00,High,Bug Report,IT,Laptop not booting up
TCKT00311,2023-01-27 03:00:00,2023-01-28 01:00:00,Urgent,Hardware,Support,Laptop running slow
TCKT00312,2023-02-27 19:00:00,2023-02-28 18:00:00,High,Network,IT,Laptop running slow
TCKT00313,2023-03-03 23:00:00,2023-03-06 20:00:00,Low,Network,Finance,Laptop running slow
TCKT00314,2023-03-23 15:00:00,2023-03-26 11:00:00,Low,Network,Support,Outlook not sending emails
TCKT00315,2023-03-22 00:00:00,2023-03-23 08:00:00,High,Network,Support,Forgot Windows password
TCKT00316,2023-02-01 04:00:00,2023-02-03 02:00:00,High,Software,Support,Bug found in internal app
TCKT00317,2023-02-28 10:00:00,2023-03-01 17:00:00,Urgent,Hardware,IT,Bug found in internal app
TCKT00318,2023-03-13 17:00:00,2023-03-14 20:00:00,Low,Hardware,IT,WiFi is unstable in the office
TCKT00319,2023-01-21 08:00:00,2023-01-22 11:00:00,Low,Network,HR,WiFi is unstable in the office
TCKT00320,2023-02-07 23:00:00,2023-02-08 21:00:00,Medium,Bug Report,HR,Laptop running slow
TCKT00321,2023-03-09 10:00:00,2023-03-11 07:00:00,High,Software,Engineering,Forgot Windows password
TCKT00322,2023-01-31 18:00:00,2023-02-02 21:00:00,High,Bug Report,HR,Requesting new mouse and keyboard
TCKT00323,2023-03-13 18:00:00,2023-03-15 03:00:00,High,Network,Finance,Laptop not booting up
TCKT00324,2023-01-02 16:00:00,2023-01-04 04:00:00,High,Network,Finance,System crash during deployment
TCKT00325,2023-01-18 14:00:00,2023-01-18 15:00:00,Medium,Network,IT,Forgot Windows password
TCKT00326,2023-02-22 06:00:00,2023-02-24 16:00:00,Medium,Network,HR,Laptop not booting up
TCKT00327,2023-01-12 00:00:00,2023-01-13 15:00:00,Urgent,Access Request,Engineering,Forgot Windows password
TCKT00328,2023-01-15 04:00:00,2023-01-18 02:00:00,High,Hardware,Engineering,Laptop running slow
TCKT00329,2023-02-01 13:00:00,2023-02-02 06:00:00,High,Network,Engineering,Requesting new mouse and keyboard
TCKT00330,2023-02-21 19:00:00,2023-02-22 14:00:00,Urgent,Access Request,Support,System crash during deployment
TCKT00331,2023-02-03 08:00:00,2023-02-03 17:00:00,High,Bug Report,Engineering,WiFi is unstable in the office
TCKT00332,2023-01-10 20:00:00,2023-01-13 00:00:00,Low,Hardware,Finance,Forgot Windows password
TCKT00333,2023-01-04 11:00:00,2023-01-07 05:00:00,Urgent,Hardware,HR,WiFi is unstable in the office
TCKT00334,2023-01-16 21:00:00,2023-01-18 22:00:00,Urgent,Access Request,IT,Need access to Jira
TCKT00335,2023-01-05 15:00:00,2023-01-06 02:00:00,High,Access Request,Engineering,Requesting new mouse and keyboard
TCKT00336,2023-03-08 17:00:00,2023-03-09 06:00:00,High,Hardware,Engineering,Laptop running slow
TCKT00337,2023-02-28 19:00:00,2023-03-01 12:00:00,Medium,Bug Report,Finance,Laptop running slow
TCKT00338,2023-01-23 08:00:00,2023-01-25 06:00:00,Low,Hardware,Finance,WiFi is unstable in the office
TCKT00339,2023-03-15 22:00:00,2023-03-16 03:00:00,Medium,Network,IT,Outlook not sending emails
TCKT00340,2023-02-02 15:00:00,2023-02-03 21:00:00,Medium,Software,IT,Need access to Jira
TCKT00341,2023-01-23 15:00:00,2023-01-24 07:00:00,Urgent,Network,HR,Cannot connect to VPN
TCKT00342,2023-01-02 09:00:00,2023-01-03 22:00:00,Urgent,Network,HR,System crash during deployment
TCKT00343,2023-01-19 21:00:00,2023-01-22 08:00:00,Low,Bug Report,IT,Laptop running slow
TCKT00344,2023-01-30 17:00:00,2023-02-02 15:00:00,Medium,Hardware,Engineering,Need access to Jira
TCKT00345,2023-03-09 12:00:00,2023-03-09 18:00:00,Medium,Network,Finance,Requesting new mouse and keyboard
TCKT00346,2023-03-24 17:00:00,2023-03-25 01:00:00,Medium,Network,HR,Forgot Windows password
TCKT00347,2023-02-02 18:00:00,2023-02-04 11:00:00,High,Bug Report,IT,Requesting new mouse and keyboard
TCKT00348,2023-02-22 13:00:00,2023-02-24 00:00:00,Urgent,Software,Engineering,System crash during deployment
TCKT00349,2023-02-18 00:00:00,2023-02-19 10:00:00,High,Software,IT,System crash during deployment
TCKT00350,2023-01-03 01:00:00,2023-01-03 11:00:00,Urgent,Access Request,IT,WiFi is unstable in the office
TCKT00351,2023-01-31 09:00:00,2023-01-31 19:00:00,Urgent,Hardware,HR,WiFi is unstable in the office
TCKT00352,2023-02-24 19:00:00,2023-02-26 12:00:00,High,Access Request,Engineering,Requesting new mouse and keyboard
TCKT00353,2023-02-12 03:00:00,2023-02-14 11:00:00,High,Software,Support,Cannot connect to VPN
TCKT00354,2023-02-09 04:00:00,2023-02-11 23:00:00,Low,Hardware,Engineering,WiFi is unstable in the office
TCKT00355,2023-01-17 09:00:00,2023-01-19 06:00:00,Low,Access Request,IT,Cannot connect to VPN
TCKT00356,2023-03-23 11:00:00,2023-03-23 20:00:00,High,Bug Report,Support,Cannot connect to VPN
TCKT00357,2023-03-20 16:00:00,2023-03-22 06:00:00,Medium,Hardware,HR,Outlook not sending emails
TCKT00358,2023-01-29 21:00:00,2023-01-31 18:00:00,High,Bug Report,Support,Laptop not booting up
TCKT00359,2023-02-28 04:00:00,2023-03-02 01:00:00,Urgent,Software,Engineering,Need access to Jira
TCKT00360,2023-01-09 19:00:00,2023-01-12 03:00:00,Medium,Network,IT,WiFi is unstable in the office
TCKT00361,2023-01-27 18:00:00,2023-01-28 20:00:00,Urgent,Network,Engineering,Requesting new mouse and keyboard
TCKT00362,2023-01-18 00:00:00,2023-01-19 00:00:00,Low,Bug Report,Finance,Bug found in internal app
TCKT00363,2023-02-03 17:00:00,2023-02-04 23:00:00,Urgent,Bug Report,Finance,Laptop not booting up
TCKT00364,2023-02-27 07:00:00,2023-03-02 02:00:00,High,Software,IT,Laptop not booting up
TCKT00365,2023-03-19 00:00:00,2023-03-21 13:00:00,High,Hardware,HR,Cannot connect to VPN
TCKT00366,2023-03-16 05:00:00,2023-03-17 22:00:00,High,Access Request,Finance,Laptop not booting up
TCKT00367,2023-01-14 09:00:00,2023-01-16 21:00:00,High,Software,Support,Outlook not sending emails
TCKT00368,2023-02-21 13:00:00,2023-02-24 12:00:00,Urgent,Bug Report,IT,Need access to Jira
TCKT00369,2023-01-06 08:00:00,2023-01-07 08:00:00,Low,Network,Finance,Need access to Jira
TCKT00370,2023-01-12 03:00:00,2023-01-12 06:00:00,Low,Network,Finance,WiFi is unstable in the office
TCKT00371,2023-02-28 21:00:00,2023-03-01 14:00:00,Urgent,Bug Report,Engineering,Outlook not sending emails
TCKT00372,2023-01-26 15:00:00,2023-01-29 06:00:00,High,Bug Report,Engineering,Outlook not sending emails
TCKT00373,2023-02-15 19:00:00,2023-02-18 13:00:00,Urgent,Access Request,Engineering,WiFi is unstable in the office
TCKT00374,2023-01-22 15:00:00,2023-01-23 18:00:00,High,Software,HR,System crash during deployment
TCKT00375,2023-02-28 14:00:00,2023-03-03 00:00:00,High,Hardware,Support,WiFi is unstable in the office
TCKT00376,2023-02-10 14:00:00,2023-02-12 03:00:00,High,Network,Finance,Forgot Windows password
TCKT00377,2023-03-18 03:00:00,2023-03-19 23:00:00,Low,Bug Report,Engineering,Laptop running slow
TCKT00378,2023-02-14 11:00:00,2023-02-17 02:00:00,High,Network,Support,Requesting new mouse and keyboard
TCKT00379,2023-02-27 20:00:00,2023-02-28 05:00:00,Medium,Network,Finance,WiFi is unstable in the office
TCKT00380,2023-02-11 18:00:00,2023-02-12 14:00:00,Medium,Access Request,Finance,Laptop running slow
TCKT00381,2023-01-22 23:00:00,2023-01-24 15:00:00,Low,Hardware,Support,System crash during deployment
TCKT00382,2023-01-30 00:00:00,2023-01-31 05:00:00,Low,Bug Report,Engineering,Need access to Jira
TCKT00383,2023-02-22 14:00:00,2023-02-25 03:00:00,High,Bug Report,HR,Need access to Jira
TCKT00384,2023-03-02 13:00:00,2023-03-03 18:00:00,Urgent,Software,Finance,Forgot Windows password
TCKT00385,2023-02-25 03:00:00,2023-02-26 02:00:00,Urgent,Bug Report,HR,Cannot connect to VPN
TCKT00386,2023-01-12 14:00:00,2023-01-13 02:00:00,High,Bug Report,Support,Outlook not sending emails
TCKT00387,2023-02-06 09:00:00,2023-02-06 17:00:00,High,Bug Report,Finance,Laptop running slow
TCKT00388,2023-03-24 23:00:00,2023-03-25 03:00:00,Medium,Bug Report,Engineering,Cannot connect to VPN
TCKT00389,2023-03-14 16:00:00,2023-03-17 02:00:00,Medium,Software,HR,System crash during deployment
TCKT00390,2023-03-01 22:00:00,2023-03-04 22:00:00,Low,Bug Report,Finance,Requesting new mouse and keyboard
TCKT00391,2023-03-21 09:00:00,2023-03-22 16:00:00,High,Software,Engineering,Laptop running slow
TCKT00392,2023-01-29 23:00:00,2023-02-01 23:00:00,Medium,Network,IT,Bug found in internal app
TCKT00393,2023-02-25 06:00:00,2023-02-25 10:00:00,Low,Hardware,IT,Cannot connect to VPN
TCKT00394,2023-01-30 14:00:00,2023-02-01 19:00:00,High,Hardware,HR,Laptop running slow
TCKT00395,2023-03-14 07:00:00,2023-03-16 01:00:00,Medium,Network,Engineering,Bug found in internal app
TCKT00396,2023-01-14 11:00:00,2023-01-16 04:00:00,Low,Software,IT,Requesting new mouse and keyboard
TCKT00397,2023-02-14 13:00:00,2023-02-17 13:00:00,High,Network,Finance,Cannot connect to VPN
TCKT00398,2023-03-02 06:00:00,2023-03-04 17:00:00,High,Bug Report,HR,Cannot connect to VPN
TCKT00399,2023-01-06 22:00:00,2023-01-07 20:00:00,High,Bug Report,HR,Need access to Jira
TCKT00400,2023-02-15 07:00:00,2023-02-17 08:00:00,High,Software,IT,Forgot Windows password
TCKT00401,2023-01-25 09:00:00,2023-01-27 21:00:00,Low,Network,IT,Requesting new mouse and keyboard
TCKT00402,2023-01-07 15:00:00,2023-01-10 10:00:00,Medium,Software,Support,Need access to Jira
TCKT00403,2023-03-13 17:00:00,2023-03-13 20:00:00,Medium,Software,IT,Cannot connect to VPN
TCKT00404,2023-03-21 13:00:00,2023-03-22 19:00:00,High,Bug Report,Support,System crash during deployment
TCKT00405,2023-02-15 06:00:00,2023-02-17 12:00:00,Low,Bug Report,Support,Bug found in internal app
TCKT00406,2023-03-14 07:00:00,2023-03-14 09:00:00,High,Software,HR,Laptop not booting up
TCKT00407,2023-02-24 11:00:00,2023-02-27 01:00:00,High,Access Request,Support,Bug found in internal app
TCKT00408,2023-03-12 00:00:00,2023-03-14 15:00:00,Medium,Hardware,Finance,Requesting new mouse and keyboard
TCKT00409,2023-02-23 00:00:00,2023-02-23 10:00:00,Urgent,Software,Finance,Cannot connect to VPN
TCKT00410,2023-01-20 15:00:00,2023-01-21 21:00:00,Urgent,Software,IT,Forgot Windows password
TCKT00411,2023-03-13 07:00:00,2023-03-14 14:00:00,Urgent,Software,Engineering,Outlook not sending emails
TCKT00412,2023-02-26 19:00:00,2023-02-27 20:00:00,Urgent,Network,IT,System crash during deployment
TCKT00413,2023-02-10 14:00:00,2023-02-10 15:00:00,Low,Network,IT,Bug found in internal app
TCKT00414,2023-03-22 00:00:00,2023-03-23 16:00:00,Low,Network,HR,Forgot Windows password
TCKT00415,2023-03-11 11:00:00,2023-03-12 06:00:00,Urgent,Access Request,Engineering,Laptop running slow
TCKT00416,2023-01-23 00:00:00,2023-01-25 22:00:00,Low,Access Request,HR,System crash during deployment
TCKT00417,2023-03-09 09:00:00,2023-03-10 18:00:00,Medium,Network,IT,Cannot connect to VPN
TCKT00418,2023-01-18 08:00:00,2023-01-18 23:00:00,Urgent,Access Request,Support,Cannot connect to VPN
TCKT00419,2023-01-16 18:00:00,2023-01-18 21:00:00,Medium,Hardware,Finance,Outlook not sending emails
TCKT00420,2023-03-14 15:00:00,2023-03-16 12:00:00,Urgent,Bug Report,Support,System crash during deployment
TCKT00421,2023-02-21 19:00:00,2023-02-22 09:00:00,High,Hardware,HR,Need access to Jira
TCKT00422,2023-02-25 18:00:00,2023-02-26 11:00:00,Urgent,Software,IT,Requesting new mouse and keyboard
TCKT00423,2023-02-21 06:00:00,2023-02-23 08:00:00,High,Access Request,IT,Need access to Jira
TCKT00424,2023-01-15 16:00:00,2023-01-16 00:00:00,Urgent,Bug Report,HR,Cannot connect to VPN
TCKT00425,2023-03-08 23:00:00,2023-03-11 22:00:00,Medium,Bug Report,Finance,Laptop running slow
TCKT00426,2023-01-02 06:00:00,2023-01-02 18:00:00,Low,Software,IT,Forgot Windows password
TCKT00427,2023-01-13 17:00:00,2023-01-14 16:00:00,High,Network,Finance,Forgot Windows password
TCKT00428,2023-02-28 19:00:00,2023-03-03 19:00:00,Medium,Access Request,Engineering,Bug found in internal app
TCKT00429,2023-03-21 09:00:00,2023-03-22 18:00:00,Urgent,Software,Support,WiFi is unstable in the office
TCKT00430,2023-01-23 00:00:00,2023-01-24 10:00:00,Low,Bug Report,IT,Laptop not booting up
TCKT00431,2023-03-21 21:00:00,2023-03-22 09:00:00,Low,Access Request,HR,WiFi is unstable in the office
TCKT00432,2023-02-24 06:00:00,2023-02-26 12:00:00,Low,Bug Report,IT,Forgot Windows password
TCKT00433,2023-01-29 02:00:00,2023-01-30 02:00:00,Medium,Bug Report,Support,Requesting new mouse and keyboard
TCKT00434,2023-01-11 14:00:00,2023-01-12 07:00:00,Low,Access Request,Support,WiFi is unstable in the office
TCKT00435,2023-01-11 00:00:00,2023-01-11 20:00:00,Urgent,Software,HR,WiFi is unstable in the office
TCKT00436,2023-02-07 20:00:00,2023-02-08 06:00:00,Urgent,Network,Finance,Forgot Windows password
TCKT00437,2023-02-17 20:00:00,2023-02-18 03:00:00,Medium,Network,Finance,Laptop not booting up
TCKT00438,2023-03-03 08:00:00,2023-03-05 20:00:00,Low,Network,HR,WiFi is unstable in the office
TCKT00439,2023-02-25 21:00:00,2023-02-28 15:00:00,Low,Bug Report,Support,System crash during deployment
TCKT00440,2023-01-21 20:00:00,2023-01-23 04:00:00,Medium,Software,Finance,Need access to Jira
TCKT00441,2023-01-16 07:00:00,2023-01-18 17:00:00,Low,Software,Support,Laptop running slow
TCKT00442,2023-01-04 10:00:00,2023-01-06 06:00:00,Low,Bug Report,Engineering,Cannot connect to VPN
TCKT00443,2023-01-04 14:00:00,2023-01-05 12:00:00,Low,Software,Finance,Forgot Windows password
TCKT00444,2023-02-23 04:00:00,2023-02-24 14:00:00,Medium,Access Request,IT,Laptop running slow
TCKT00445,2023-02-17 05:00:00,2023-02-17 06:00:00,Medium,Software,Finance,System crash during deployment
TCKT00446,2023-03-09 11:00:00,2023-03-11 05:00:00,Low,Software,IT,Cannot connect to VPN
TCKT00447,2023-03-18 00:00:00,2023-03-19 19:00:00,Medium,Access Request,HR,Laptop not booting up
TCKT00448,2023-03-17 00:00:00,2023-03-18 23:00:00,Urgent,Software,Support,Laptop not booting up
TCKT00449,2023-02-14 09:00:00,2023-02-17 02:00:00,High,Access Request,HR,Need access to Jira
TCKT00450,2023-01-25 11:00:00,2023-01-27 02:00:00,High,Software,IT,Bug found in internal app
TCKT00451,2023-01-06 12:00:00,2023-01-07 05:00:00,Urgent,Software,Support,System crash during deployment
TCKT00452,2023-03-12 06:00:00,2023-03-12 16:00:00,Low,Bug Report,IT,Need access to Jira
TCKT00453,2023-02-11 20:00:00,2023-02-13 06:00:00,High,Bug Report,Finance,WiFi is unstable in the office
TCKT00454,2023-01-13 00:00:00,2023-01-13 09:00:00,Medium,Hardware,HR,Cannot connect to VPN
TCKT00455,2023-02-17 21:00:00,2023-02-19 17:00:00,Low,Bug Report,Finance,Outlook not sending emails
TCKT00456,2023-01-21 11:00:00,2023-01-24 05:00:00,Low,Network,HR,Requesting new mouse and keyboard
TCKT00457,2023-01-30 06:00:00,2023-01-30 23:00:00,Low,Access Request,Finance,Cannot connect to VPN
TCKT00458,2023-03-07 21:00:00,2023-03-10 09:00:00,Medium,Network,HR,Cannot connect to VPN
TCKT00459,2023-03-17 18:00:00,2023-03-19 15:00:00,Low,Access Request,Support,Need access to Jira
TCKT00460,2023-01-07 12:00:00,2023-01-08 20:00:00,Medium,Hardware,IT,Outlook not sending emails
TCKT00461,2023-01-02 07:00:00,2023-01-02 10:00:00,Urgent,Software,IT,Bug found in internal app
TCKT00462,2023-01-21 12:00:00,2023-01-24 01:00:00,Low,Access Request,Finance,Requesting new mouse and keyboard
TCKT00463,2023-03-12 21:00:00,2023-03-14 02:00:00,Urgent,Software,IT,Bug found in internal app
TCKT00464,2023-03-04 05:00:00,2023-03-07 05:00:00,High,Software,Engineering,Requesting new mouse and keyboard
TCKT00465,2023-01-03 18:00:00,2023-01-05 02:00:00,Low,Access Request,Support,Cannot connect to VPN
TCKT00466,2023-02-04 13:00:00,2023-02-06 02:00:00,Urgent,Bug Report,Finance,Laptop not booting up
TCKT00467,2023-01-27 06:00:00,2023-01-28 14:00:00,High,Hardware,Engineering,Forgot Windows password
TCKT00468,2023-03-04 19:00:00,2023-03-07 07:00:00,Medium,Network,HR,Bug found in internal app
TCKT00469,2023-03-10 03:00:00,2023-03-11 09:00:00,High,Network,Engineering,Forgot Windows password
TCKT00470,2023-03-04 09:00:00,2023-03-07 04:00:00,Medium,Network,IT,Cannot connect to VPN
TCKT00471,2023-01-02 00:00:00,2023-01-03 14:00:00,Low,Hardware,Support,Bug found in internal app
TCKT00472,2023-03-23 00:00:00,2023-03-25 06:00:00,Low,Hardware,IT,Forgot Windows password
TCKT00473,2023-01-19 13:00:00,2023-01-19 15:00:00,Low,Hardware,HR,Laptop running slow
TCKT00474,2023-03-13 10:00:00,2023-03-14 02:00:00,Low,Access Request,HR,Need access to Jira
TCKT00475,2023-01-13 20:00:00,2023-01-14 22:00:00,Low,Bug Report,Finance,Cannot connect to VPN
TCKT00476,2023-02-14 15:00:00,2023-02-15 15:00:00,Urgent,Bug Report,IT,Forgot Windows password
TCKT00477,2023-02-06 12:00:00,2023-02-06 16:00:00,High,Access Request,IT,Laptop running slow
TCKT00478,2023-03-16 17:00:00,2023-03-18 21:00:00,Medium,Bug Report,IT,Bug found in internal app
TCKT00479,2023-01-03 12:00:00,2023-01-05 01:00:00,Low,Access Request,Support,Requesting new mouse and keyboard
TCKT00480,2023-03-08 13:00:00,2023-03-10 12:00:00,High,Software,Finance,Need access to Jira
TCKT00481,2023-01-25 19:00:00,2023-01-27 11:00:00,Medium,Software,HR,WiFi is unstable in the office
TCKT00482,2023-02-23 16:00:00,2023-02-24 21:00:00,High,Access Request,HR,Laptop running slow
TCKT00483,2023-02-21 14:00:00,2023-02-23 12:00:00,Medium,Software,Engineering,Forgot Windows password
TCKT00484,2023-02-16 01:00:00,2023-02-19 01:00:00,Medium,Software,Finance,Need access to Jira
TCKT00485,2023-02-06 06:00:00,2023-02-06 12:00:00,Medium,Bug Report,HR,Forgot Windows password
TCKT00486,2023-01-01 23:00:00,2023-01-03 03:00:00,High,Software,HR,Outlook not sending emails
TCKT00487,2023-02-08 05:00:00,2023-02-10 04:00:00,Low,Network,Engineering,Need access to Jira
TCKT00488,2023-02-25 15:00:00,2023-02-26 01:00:00,Medium,Network,Support,Forgot Windows password
TCKT00489,2023-01-31 13:00:00,2023-02-01 01:00:00,Medium,Bug Report,HR,Bug found in internal app
TCKT00490,2023-02-19 14:00:00,2023-02-21 00:00:00,Medium,Network,IT,Need access to Jira
TCKT00491,2023-02-11 15:00:00,2023-02-12 00:00:00,Medium,Access Request,Finance,Need access to Jira
TCKT00492,2023-01-24 05:00:00,2023-01-25 05:00:00,Urgent,Bug Report,HR,Cannot connect to VPN
TCKT00493,2023-01-31 18:00:00,2023-02-02 01:00:00,Urgent,Software,Support,Requesting new mouse and keyboard
TCKT00494,2023-01-24 15:00:00,2023-01-25 19:00:00,High,Network,Support,Bug found in internal app
TCKT00495,2023-02-25 18:00:00,2023-02-28 02:00:00,High,Access Request,IT,Laptop not booting up
TCKT00496,2023-01-25 11:00:00,2023-01-27 02:00:00,Low,Software,Finance,Cannot connect to VPN
TCKT00497,2023-02-12 23:00:00,2023-02-13 12:00:00,Urgent,Bug Report,Engineering,Forgot Windows password
TCKT00498,2023-01-05 23:00:00,2023-01-08 18:00:00,Low,Hardware,IT,Outlook not sending emails
TCKT00499,2023-02-02 01:00:00,2023-02-03 07:00:00,High,Bug Report,HR,Requesting new mouse and keyboard
TCKT00500,2023-03-19 05:00:00,2023-03-20 19:00:00,High,Access Request,Finance,Requesting new mouse and keyboard
